Q.1 What age bracket are you in?,Q.2 What Faculty are you from?,Q.3 What year of study are you in?,Q.4 We are waiting for confirmation from the government – it is possible that more students will be allowed to return to campus at some point in April. How comfortable are you with a potential return to Campus? ,Q.5 Please tell us more about your answer to the previous question
30-39,Faculty of Science and Technology,1st Year (including Foundation year),"Somewhat comfortable, but I have some concerns",
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Not at all comfortable, I have serious concerns","I believe, unless necessary, studying should remain off campus until at least next year "
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",
30-39,Faculty of Science and Technology,Post-Graduate (non-doctorate),"Very comfortable, I can’t wait to get back",
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Somewhat comfortable, but I have some concerns",Iam not mentally ready to meet my classmates or even commute to campus  but iam ready to have physical classses to help me learn better
25-29,Faculty of Science and Technology,Post-Graduate (non-doctorate),"Very comfortable, I can’t wait to get back",
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Somewhat comfortable, but I have some concerns",most students do not follow guidance and regulations
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Very comfortable, I can’t wait to get back",Online uni is hard.
21-24,Faculty of Science and Technology,1st Year (including Foundation year),"Somewhat comfortable, but I have some concerns",
30-39,Faculty of Science and Technology,Post-Graduate (non-doctorate),"Very comfortable, I can’t wait to get back",
21-24,Faculty of Science and Technology,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",I'm am going to be vaccinated before then anyway as I work in a care home.
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Somewhat comfortable, but I have some concerns","Depends upon the vaccine rate, 
The social distancing messures in place,
And if I'm needed in on site."
30-39,Faculty of Media and Communication,Post-Graduate (non-doctorate),"Comfortable, as long as everyone respects physical distancing rules, etc.",
21-24,Faculty of Media and Communication,2nd Year,"Very comfortable, I can’t wait to get back",I would love to get back as soon as possible I love campus and miss it so much.
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",I think I’d like to get back to uni and see people but I’m still wary of getting/ getting others ill.
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Not at all comfortable, I have serious concerns","I am aware of the sudden changes in the situation with covid and I do not want to risk adjusting back to day to day life on campus, then having to revert back to online learning; as I fear it will interrupt my flow of studying."
30-39,Faculty of Science and Technology,1st Year (including Foundation year),"Somewhat comfortable, but I have some concerns",I'm concerned that the majority of student won't be vaccinated and may not be adhering to the rules in their personal time
Under 21,Faculty of Media and Communication,2nd Year,"Very comfortable, I can’t wait to get back",
Under 21,The Business School/Faculty of Management,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",It will be strange to experience being on campus this year as we haven't experienced it before and was told it would be more likely to be in September this year. Though I am looking forward to the idea of it as long as it follows government restrictions
Under 21,The Business School/Faculty of Management,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",I have enjoyed my experience so far but I can’t wait to experience campus life and go to lectures where everyone is contributing more to the sessions and the lecturers are enjoying teaching more. 
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Very comfortable, I can’t wait to get back",Excited to be back and see everyone
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Very comfortable, I can’t wait to get back",Want to make the most out of my time at uni
Under 21,Faculty of Media and Communication,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",I'm eager to get back in but guidelines are so important so we don't have to go online again and again.
21-24,The Business School/Faculty of Management,3rd Year or Final Year,"Very comfortable, I can’t wait to get back",I live alone so any physical engagement with teaching and other students is very well desired at the moment 
Under 21,The Business School/Faculty of Management,2nd Year,"Somewhat comfortable, but I have some concerns",
25-29,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",
Under 21,Faculty of Media and Communication,2nd Year,"Very comfortable, I can’t wait to get back","I want to be studying as normal ASAP, when safe to do so"
Under 21,Faculty of Media and Communication,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.","as long as there is good social distancing from students, I will feel safe coming back"
21-24,The Business School/Faculty of Management,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",I would be comfortable with a return now with proper rules and regs etc especially with the course I’m on 
40-49,Faculty of Science and Technology,1st Year (including Foundation year),"Somewhat comfortable, but I have some concerns","Anxiety levels, fitting 100s + of people in a lecture hall safely and likewise when moving around campus."
Under 21,Faculty of Media and Communication,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",
Under 21,Faculty of Science and Technology,3rd Year or Final Year,"Not at all comfortable, I have serious concerns",Don’t think it’s safe
Under 21,The Business School/Faculty of Management,2nd Year,"Very comfortable, I can’t wait to get back",I would love to come back. As a sports student I am really missing out on my lab sessions. 
Under 21,Faculty of Media and Communication,2nd Year,"Very comfortable, I can’t wait to get back",My course has been so badly affected by covid I'm gagging to get back in the TV studio and actually be able to use equipment feel like my second year has been so stop start 😭
Under 21,The Business School/Faculty of Management,2nd Year,"Very comfortable, I can’t wait to get back",I am looking forward to getting back onto campus and having face to face teaching. I also miss the social aspects
Under 21,The Business School/Faculty of Management,2nd Year,"Very comfortable, I can’t wait to get back","Student safety is important, but with the success of the vaccine in covering those most vulnerable to the virus it is paramount that we press to transition into a fully physical September so that students can get what they have payed for. By this June, everyone in my 2nd year will have spent 3/4s of their education and experience online and in lockdown tiers. We must return to campus."
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Not at all comfortable, I have serious concerns","While case numbers are decreasing I do have great concerns that some rules of social distancing may not be possible to be enforced, and even then if cases rise again for some reason it may be that more strict measures will have to be implanted. What I would say is keep classes to a minimum and ensure vulnerable students and staff get vaccinated as soon as possible - only then would I potentially feel comfortable in returning to campus."
Under 21,Faculty of Media and Communication,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",I am comfortable coming back but the move back should be gradual and not have students coming back in huge numbers. 
21-24,The Business School/Faculty of Management,Post-Graduate (non-doctorate),"Very comfortable, I can’t wait to get back","I really miss the student experience, and find it very sad that i've not been able to meet with the lectures who taught me throughout my first semester (Sep20-Jan21), in addition to not having met any of my friends made on this course. Whilst I understanding staying at home is important, I can't wait to get back to the 'real' student experience that BU offers! "
Under 21,The Business School/Faculty of Management,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",Being a very practical based course don't know why we weren't allowed in university
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",
Under 21,Faculty of Media and Communication,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.","I cannot wait to get back onto campus for practical workshops, however, I hope that everyone respects the rules that are still in place"
21-24,The Business School/Faculty of Management,3rd Year or Final Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",
21-24,The Business School/Faculty of Management,3rd Year or Final Year,"Somewhat comfortable, but I have some concerns","I would only go back to campus if it was wholly necessary, and I personally don’t believe it is so I wouldn’t be comfortable. However, if for example exams were in person, then I would have to come back so would be comfortable to do so."
21-24,Faculty of Science and Technology,1st Year (including Foundation year),"Not at all comfortable, I have serious concerns","I do not feel safe at all returning to campus, I believe people who need extra help should have the option to. However as I am in halls of residence, there is a high chance of one of my flat mates catching corona virus and us all having to isolate. As this is the first time a lot of students have lived away from home I think it would be ridiculous for universities to make students return to campus when self isolation has such a high chance of damaging students mental health. "
Under 21,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",
Under 21,The Business School/Faculty of Management,1st Year (including Foundation year),"Not at all comfortable, I have serious concerns",I am worried about getting Covid as I haven’t had the vaccine 
21-24,Faculty of Science and Technology,1st Year (including Foundation year),"Somewhat comfortable, but I have some concerns","I think that I would be much more comfortable returning to campus after we have all got the vaccine, especially with the risk of having to self isolate when there are so many people in the lecture halls. Maybe I would be okay with blended learning, like being on campus for seminars and workshops but nothing over 20-30 people."
Under 21,The Business School/Faculty of Management,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",I feel excited to come back to campus as long as there are still some sort of restrictions towards the situation.  
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Somewhat comfortable, but I have some concerns",I'm very worried because people don't take covid seriously. Lots of people go to parties and don't social distance. But it would be nice to be able to have in person lectures and seminars and be able to make friends. 
21-24,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",
Under 21,Faculty of Media and Communication,2nd Year,"Very comfortable, I can’t wait to get back",I'm itching to get back and use the facilities we pay for
Under 21,Faculty of Science and Technology,3rd Year or Final Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",I am comfortable so long as people obey the government restrictions
25-29,Faculty of Science and Technology,3rd Year or Final Year,"Comfortable, as long as everyone respects physical distancing rules, etc.","I don't plan to return, I'm graduating at the end of the year and don't need campus facilities badly enough to risk exposure"
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",The facilities and equipment available on my course is beyond exciting - it’s part of why I chose to do the course and can’t wait to be doing group work in person again instead of online!
Under 21,Faculty of Science and Technology,3rd Year or Final Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",It would be great to get back into uni but there is still a chance of getting infected 
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",im not in bournemouth so being back on campus may be difficult for me
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",As a media production student I’ve been extremely let down by the quality of online teaching- my course needs to be on campus
Under 21,Faculty of Health and Social Sciences,2nd Year,"Somewhat comfortable, but I have some concerns","Not sure how it would work with distancing, bit aprehensive"
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Somewhat comfortable, but I have some concerns","I am worried about the return to normal, socially in terms of managing and medically in terms of mutations "
Under 21,The Business School/Faculty of Management,2nd Year,"Very comfortable, I can’t wait to get back",It will be great to be back on the BU community! It makes everything feel better and definitly gives me more motivation.
30-39,Faculty of Science and Technology,3rd Year or Final Year,"Not at all comfortable, I have serious concerns","I am currently in a position where I have to shield, my second covid jab isn't due until the middle of may.  So I have some concerns mixing."
Under 21,The Business School/Faculty of Management,2nd Year,"Very comfortable, I can’t wait to get back",I am looking forward to getting back onto campus and having face to face teaching. I also miss the social aspects
21-24,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",I struggle with online learning because of concentration issues from my chronic health condition so I'm super ready to get to campus for the first time. I've had my first vaccination so this makes me extra comfortable with going back.
25-29,The Business School/Faculty of Management,3rd Year or Final Year,"Very comfortable, I can’t wait to get back",
21-24,Faculty of Health and Social Sciences,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.","I’m fine in general, but masks and distancing would be good if possible. I’d rather just get back though, haven’t been in since December 2019!"
30-39,Faculty of Health and Social Sciences,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",
21-24,Faculty of Health and Social Sciences,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Somewhat comfortable, but I have some concerns",I would still be worried about how rules would be enforced and whether the learning we receive would be to the same high standards we had pre COVID.
21-24,Faculty of Science and Technology,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",
Under 21,Faculty of Health and Social Sciences,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back","As a first year, it’s been rather hard to stay motivated off campus and I feel my work ethic has been greatly impacted by not being in an academic environment. I am very excited to get back into the swing of actually being able to feel completely absorbed in my degree and properly get involved in things. "
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",I can't wait to get back. As long as people abide by rules outlined by the government and university on social distancing
30-39,Faculty of Health and Social Sciences,Post-Graduate (non-doctorate),"Very comfortable, I can’t wait to get back",I need to be in campus
21-24,Faculty of Health and Social Sciences,2nd Year,"Very comfortable, I can’t wait to get back",
21-24,Faculty of Health and Social Sciences,2nd Year,"Very comfortable, I can’t wait to get back",
21-24,Faculty of Science and Technology,PhD or equivalent,"Somewhat comfortable, but I have some concerns",
21-24,The Business School/Faculty of Management,Post-Graduate (non-doctorate),"Somewhat comfortable, but I have some concerns","Just want to be able to use poole house rooms again, I do not enjoy working in the library or the computer rooms. If anything theres a higher chance of being infected there. Not to fussed about in person lectures with only a few weeks left with taught lectures / seminars."
21-24,The Business School/Faculty of Management,3rd Year or Final Year,"Very comfortable, I can’t wait to get back",I live alone so any physical engagement with teaching and other students is very well desired at the moment 
21-24,Faculty of Health and Social Sciences,Post-Graduate (non-doctorate),"Comfortable, as long as everyone respects physical distancing rules, etc.","I'm not living on campus, but excited for the prospect to come to bournemouth uni for the first time, to meet classmates and teaching staff face to face"
Under 21,The Business School/Faculty of Management,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back","I actually will be getting my VISA Application in April and as I get, I will travel to the UK."
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back","Being a first year student, I would really like to find out about the university experience which I feel I am missing out on due to the current situation. I think it would be nice to meet new people and experience university as it is meant to be."
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",
25-29,Faculty of Health and Social Sciences,PhD or equivalent,"Comfortable, as long as everyone respects physical distancing rules, etc.",I've found studying from home particularly challenging - so as long as BU keep up a good level of vigilance with regards to social distancing and face coverings - I think it'll be a great step for students (especially those who have so far done all of their studying virtually) mental health!
21-24,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back","I havent met anyone on the course and its been an incredibly lonely year, i want to meet and socialise with others on my course as well as societies and parties. "
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back","Covid has impacted some of the lectures drastically. Especially when talking about life drawing as pictures can never represent the experience of seeing the form in 3D. Having even one session a week of life drawing on campus would get us back into the sense of community and hands on experience that has been missing on Zoom. We are, however, aware that the life drawing studio is very small so multiple sessions would have to be run which might be unsafe for the lecturers."
Under 21,The Business School/Faculty of Management,2nd Year,"Very comfortable, I can’t wait to get back",I am happy as it is very hard for me to have to choose either living at accommodation full time or at home as my usual living schedule consists of me going home every 2 weeks. 
21-24,Faculty of Media and Communication,3rd Year or Final Year,"Very comfortable, I can’t wait to get back",I am looking forward to getting back on to campus because i feel more focused and motivated when working at the university. 
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back","As a first year, it’s been rather hard to stay motivated off campus and I feel my work ethic has been greatly impacted by not being in an academic environment. I am very excited to get back into the swing of actually being able to feel completely absorbed in my degree and properly get involved in things. "
30-39,Faculty of Health and Social Sciences,PhD or equivalent,"Very comfortable, I can’t wait to get back",
Under 21,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",I have already been at campus the whole time in the previous lockdown as my course is a health sciences course but I am nervous about everyone returning as i think campus will be a lot busier and it will be difficult to physically distance. 
21-24,Faculty of Science and Technology,2nd Year,"Very comfortable, I can’t wait to get back","It has been really tough to be locked in , no Sun, no friends, no socialising. I hope April brings more people in as they might as well miss the entire university experience. "
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Very comfortable, I can’t wait to get back",It would be nice to be able to socialise with peers again
50+,Faculty of Health and Social Sciences,I can't say which year due to pandamic my data collection is still withholding ,"Very comfortable, I can’t wait to get back",
40-49,Faculty of Health and Social Sciences,PhD or equivalent,"Comfortable, as long as everyone respects physical distancing rules, etc.",I am happy to return but equally happy working from home. If I see that others are not following government recommendations then I am happy to continue working remotely. 
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",Everyone has got use to current restrictions and that will hopefully allow us to go back and get use to going in frequently 
21-24,Faculty of Media and Communication,2nd Year,"Not at all comfortable, I have serious concerns",I don’t feel it will be safe and social distancing will not be enough to stop the spread
21-24,The Business School/Faculty of Management,3rd Year or Final Year,"Not at all comfortable, I have serious concerns",Before we go back on campus I would like as much notice as possible as I have to travel quite far and would need to sort out accomodation etc
Under 21,The Business School/Faculty of Management,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",I’m excited to go back 
21-24,Faculty of Science and Technology,Placement Year,"Somewhat comfortable, but I have some concerns","I have been to the library (and work there as staff), and I am aware that many students do break rules such as mask-wearing, and no matter how many reminders, students won't adhere to things (not counting those who are allowed to not wear a mask). If there is a return to campus, there needs to be a stricter policy with tough consequences for any students who do not follow the rules. "
21-24,Faculty of Media and Communication,3rd Year or Final Year,"Somewhat comfortable, but I have some concerns","As we haven’t been on campus for such a long time, it understandably feels a bit of a worry going back. "
21-24,Faculty of Media and Communication,3rd Year or Final Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",I’m happy to go back as it will be my last chance to and I am vaccinated 
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back","Being a first year on a non-practical course, I've never had the chance to go on campus and I feel like it's made the transition more difficult as I'm missing out on a vital part of the university experience. Lessons provide an easy way to meet new people, and it's just not the same when online."
21-24,Faculty of Media and Communication,3rd Year or Final Year,"Not at all comfortable, I have serious concerns",As a clinically vulnerable person who has yet to be vaccinated I would not be comfortable returning to campus until I’ve had both doses.
30-39,Faculty of Media and Communication,Post-Graduate (non-doctorate),"Comfortable, as long as everyone respects physical distancing rules, etc.",Having to study online without physical teaching has affected a lot of students menatlly.
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",I feel that Bournemouth have showed that they have put lots of things in place to keep us safe
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",Apps anywhere isn't good enough for the course and I've had to pay for alot of software we should be using on campus 
30-39,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",I can't wait to be on campus and finally get to meet all my fellow students but I understand that this will have to be done in small groups to make it safe
25-29,Faculty of Science and Technology,Post-Graduate (non-doctorate),"Comfortable, as long as everyone respects physical distancing rules, etc.",
21-24,The Business School/Faculty of Management,Post-Graduate (non-doctorate),"Comfortable, as long as everyone respects physical distancing rules, etc.","Personally I think people should have their vaccine before returning to campus and their should still be restrictions in place for example masks, 2m apart and cleaning"
25-29,Faculty of Media and Communication,Post-Graduate (non-doctorate),"Comfortable, as long as everyone respects physical distancing rules, etc.",The community healthy and safeness  is really important so if everybody helps following the rules it will be great but  it is still a bit worried  be sure that  everybody will be in the same mode and guarantee the security for everyone 
30-39,The Business School/Faculty of Management,Post-Graduate (non-doctorate),"Comfortable, as long as everyone respects physical distancing rules, etc.",
Under 21,Faculty of Science and Technology,2nd Year,"Very comfortable, I can’t wait to get back","My views on Covid have been that the government has handled it very badly. From analysing data I believe we should of invested heavily into healthcare and taken precautionary measures such as wearing face masks and using hand sanitizer, but apart from that I think all fit and healthy under 50’s should have been able to have the option to work and live a normal life. However, if they are wary of covid or must shelter a particular relative then I support people having the option to opt out of in person education or work and they can take online classes or receive furlough pay.  "
21-24,Faculty of Health and Social Sciences,2nd Year,"Very comfortable, I can’t wait to get back",Can’t wait to get back and socialise whilst maintaining social distance and safety measures 
21-24,Faculty of Health and Social Sciences,2nd Year,"Not at all comfortable, I have serious concerns","People travelling from different areas and then being together doesn't feel safe. Some students will have to get the bus, which will be a confined space. "
21-24,Faculty of Science and Technology,2nd Year,"Not at all comfortable, I have serious concerns",
Under 21,The Business School/Faculty of Management,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",I'm looking forward to being able to meet my course mates face to face and enjoy what BU has to offer 
Under 21,Faculty of Media and Communication,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",
21-24,Faculty of Media and Communication,Post-Graduate (non-doctorate),"Somewhat comfortable, but I have some concerns",
Under 21,The Business School/Faculty of Management,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",I’m excited to go back as I work better when around my peers however it will be strange to wear masks and be in smaller groups
21-24,The Business School/Faculty of Management,Post-Graduate (non-doctorate),"Very comfortable, I can’t wait to get back",
Under 21,The Business School/Faculty of Management,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.","I am looking forward to seeing my class mates and being more active at university, however I still want to feel safe therefore I would appreciate social distancing rules around the campus. "
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back","My course is very difficult to learn over zoom, I feel as though first year has almost been a waste in a way because I haven’t learned the same as I would have on campus. Also because I live in halls I’m not as worried about contracting covid if I was living at home "
21-24,Faculty of Media and Communication,3rd Year or Final Year,"Very comfortable, I can’t wait to get back","As a final student, I’d happily come back to spend the last couple of months at uni!"
21-24,Faculty of Media and Communication,Placement Year,"Very comfortable, I can’t wait to get back",
21-24,The Business School/Faculty of Management,Placement Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",Obviously most people will respect the rules but there'll always be a few that don't and that's all it takes to spread the virus
Under 21,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",With covid 19 it’s made my uni experience very isolated and very hard to make friends. 
21-24,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",So wanting to get onto campus and have a proper experience 
30-39,Faculty of Science and Technology,Post-Graduate (non-doctorate),"Somewhat comfortable, but I have some concerns",I am an online student but I do worry about pockets of covid developing on campus for students as they return from many areas of the country. I hope the return will be safe for them
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.","I’m very eager to go back, I am also just hyper aware of people forgetting to distance & in order to stay at uni and avoid another lockdown we all need to try and do our part "
Under 21,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",I’m so excited to socialise and get a better quality of teaching again.
Under 21,Faculty of Health and Social Sciences,2nd Year,"Very comfortable, I can’t wait to get back",I have already returned to my university accommodation due to being a health care student with essential placement but I’m looking forward to being able to access the uni campus more freely 
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back","I’ve been away for so long and want to actually enjoy my uni experience, as it’s my first year it almost feels like I haven’t even gone to uni which is sad."
21-24,The Business School/Faculty of Management,Placement Year,"Very comfortable, I can’t wait to get back",
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",
21-24,Faculty of Media and Communication,3rd Year or Final Year,"Comfortable, as long as everyone respects physical distancing rules, etc.","I am looking forward to coming back to campus,  if an very apprehensive and nervous to go back! "
21-24,Faculty of Science and Technology,3rd Year or Final Year,"Somewhat comfortable, but I have some concerns",Not entirely confident that there will be people who continue to follow social distancing rules and wearing masks. Still apprehensive to return. 
21-24,The Business School/Faculty of Management,3rd Year or Final Year,"Very comfortable, I can’t wait to get back",The experience at the University campus is one that has played an important role during my studies
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",
